z,cq,R2_m,R2_se,Epi_m,Epi_se,SR_m,SR_se,SRvar_m,SRvar_se,beta_norm2_m,beta_norm2_se
1.0,5.0,-0.14412418336282706,0.0,0.010381233157355627,0.0,0.02304372123055348,0.0,0.02303831412344016,0.0,0.18592662812534916,0.0
1.0,7.0,-0.09031961308910019,0.0,0.021369250622871774,0.0,0.051332728005413324,0.0,0.05137478741063387,0.0,0.14634147102639766,0.0
1.0,10.0,-0.06500931415512667,0.0,0.01888659448550374,0.0,0.052041627245405994,0.0,0.05208618105352491,0.0,0.10805149422756864,0.0
2.0,0.5,-0.07978985527073612,0.0,-0.0140583857705659,0.0,-0.049144635872619774,0.0,-0.04917948233662341,0.0,0.06927554878445419,0.0
2.0,0.75,-0.09551720377184592,0.0,-0.012434583684726252,0.0,-0.03804835067216089,0.0,-0.03805687874924319,0.0,0.08885794419494958,0.0
2.0,0.9,-0.10858646862286592,0.0,-0.015083907139314835,0.0,-0.04462113035340466,0.0,-0.04464327974762912,0.0,0.09895169704476545,0.0
2.0,0.95,-0.11208982406313628,0.0,-0.015631840242601124,0.0,-0.04584892783483607,0.0,-0.04587423967727813,0.0,0.10174915509895861,0.0
2.0,0.98,-0.10849057322695721,0.0,-0.012289744347560484,0.0,-0.036072190272983015,0.0,-0.036077629465291555,0.0,0.10349668849103497,0.0
2.0,1.02,-0.10815617245319364,0.0,-0.011837117775746251,0.0,-0.03467062766297379,0.0,-0.034674134343218255,0.0,0.10453619828636632,0.0
2.0,1.05,-0.11080840023191962,0.0,-0.012280133683967107,0.0,-0.0354448498434576,0.0,-0.035449398186231114,0.0,0.10589797484773172,0.0
2.0,1.1,-0.10787502929528348,0.0,-0.009441814914303471,0.0,-0.02735590746985471,0.0,-0.027352462558890154,0.0,0.10865577520184189,0.0
2.0,1.25,-0.10587921298280234,0.0,-0.005201115043072906,0.0,-0.014518814701669833,0.0,-0.014513083208980102,0.0,0.11485222736308653,0.0
2.0,1.5,-0.10811511176039268,0.0,-0.0025859026018011876,0.0,-0.006986478862404922,0.0,-0.006983155178305456,0.0,0.12335386265598798,0.0
2.0,2.0,-0.12071305183319181,0.0,-0.0013545957876159012,0.0,-0.0034247337079664074,0.0,-0.0034230409869486214,0.0,0.1356175032360457,0.0
2.0,3.0,-0.13229801875904124,0.0,-0.006158967948353941,0.0,-0.015659317238594848,0.0,-0.015653404957966167,0.0,0.1420808956027104,0.0
2.0,5.0,-0.09915090774704671,0.0,0.007996133495072581,0.0,0.02118384182683543,0.0,0.021177999658097753,0.0,0.12915941808225953,0.0
2.0,7.0,-0.06541439503427138,0.0,0.018309092315763352,0.0,0.05029966411167738,0.0,0.050338227590738256,0.0,0.11145958943636362,0.0
2.0,10.0,-0.05131897578765554,0.0,0.01691715200865483,0.0,0.05134591316563191,0.0,0.05138801825144381,0.0,0.08919508334254754,0.0
5.0,0.5,-0.027465531854294012,0.0,-0.007335656483477737,0.0,-0.04948625366452015,0.0,-0.04952217868455442,0.0,0.018423284304288773,0.0
5.0,0.75,-0.030580919693748543,0.0,-0.005767448133583456,0.0,-0.033264805353225985,0.0,-0.03326657940623086,0.0,0.024661120148318498,0.0
5.0,0.9,-0.03428986850283344,0.0,-0.006258040658678004,0.0,-0.034427923733988036,0.0,-0.03443111680690505,0.0,0.02803033730738212,0.0
5.0,0.95,-0.036202287289224255,0.0,-0.0069365048058861786,0.0,-0.037749256656426186,0.0,-0.03775728908674713,0.0,0.028911863066865415,0.0
5.0,0.98,-0.034021655264591555,0.0,-0.005267979828474109,0.0,-0.028648423619804436,0.0,-0.028645853524972956,0.0,0.029471565035804795,0.0
5.0,1.02,-0.03406382798338914,0.0,-0.005178551260055508,0.0,-0.028063122933007015,0.0,-0.028060139263342096,0.0,0.029879425114988527,0.0
5.0,1.05,-0.035638611522395,0.0,-0.005634786210885418,0.0,-0.029996465594503724,0.0,-0.02999496119949425,0.0,0.030557540048694064,0.0
5.0,1.1,-0.03398478489502432,0.0,-0.0041694587307017205,0.0,-0.02209571029855606,0.0,-0.022090052745736746,0.0,0.03167031647576988,0.0
